주소,평균가격
강원특별자치도 원주시,4943.078125
강원특별자치도 강릉시,4719.8625
강원특별자치도 춘천시,4625.94375
강원특별자치도 홍천군,4143.314285714286
강원특별자치도 동해시,3435.96
