0,1,2,3,4,5,6
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
강서구,"7분위
(2,983,559~3,741,082원)","266,948","7분위
(2,983,559~3,741,082원)","266,948","7분위
(2,983,559~3,741,082원)","273,059"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
구로구,"7분위
(2,983,559~3,741,082원)","180,455","7분위
(2,983,559~3,741,082원)","180,455","7분위
(2,983,559~3,741,082원)","183,638"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
금천구,"6분위
(2,440,600~2,983,558원)","114,638","6분위
(2,440,600~2,983,558원)","114,638","6분위
(2,440,600~2,983,558원)","119,576"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
영등포구,"7분위
(2,983,559~3,741,082원)","184,488","7분위
(2,983,559~3,741,082원)","184,488","7분위
(2,983,559~3,741,082원)","189,447"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
동작구,"7분위
(2,983,559~3,741,082원)","184,294","7분위
(2,983,559~3,741,082원)","184,294","7분위
(2,983,559~3,741,082원)","186,078"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
관악구,"6분위
(2,440,600~2,983,558원)","274,530","6분위
(2,440,600~2,983,558원)","274,530","6분위
(2,440,600~2,983,558원)","283,003"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
서초구,"9분위
(4,890,362~6,945,811원)","173,212","9분위
(4,890,362~6,945,811원)","173,212","9분위
(4,890,362~6,945,811원)","169,277"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
강남구,"9분위
(4,890,362~6,945,811원)","234,547","9분위
(4,890,362~6,945,811원)","234,547","9분위
(4,890,362~6,945,811원)","237,639"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
