구분,매매,전세
,3.3㎡,3.3㎡
충청남도 계룡시,714,526
충청남도 공주시,633,442
충청남도 금산군,514,372
충청남도 논산시,616,446
충청남도 당진시,624,496
충청남도 보령시,573,433
충청남도 부여군,552,407
충청남도 서산시,549,442
충청남도 서천군,418,278
충청남도 아산시,726,539
충청남도 예산군,480,324
충청남도 천안시,748,574
충청남도 청양군,481,196
충청남도 태안군,454,327
충청남도 홍성군,577,429
대전광역시 대덕구,811,526
대전광역시 동구,880,442
대전광역시 서구,"1,247",372
대전광역시 유성구,"1,303",446
대전광역시 중구,"1,015",496
