주소,간식빵,샌드위치류,샐러드류,식빵류,신제품,크림빵,파이/패스트리,"피자빵,고로케"
제주특별자치도 서귀포시,3259.1,7100.0,8587.5,5035.55,4766.65,3340.5,2933.3,3212.5
제주특별자치도 제주시,2853.56,6991.66,9075.0,5143.62,4933.32,3543.34,2806.66,3172.0
