구분,매매,전세
,3.3㎡,3.3㎡
충청북도 단양군,476,260
충청북도 보은군,543,331
충청북도 영동군,353,242
충청북도 옥천군,490,349
충청북도 음성군,564,398
충청북도 제천시,536,412
충청북도 증평군,586,471
충청북도 진천군,673,493
충청북도 청원군,282,205
충청북도 청주시,782,629
충청북도 충주시,612,479
