,매장명,주소,지역,간식빵,기타,샌드위치류,샐러드류,식빵류,신제품,크림빵,파이/패스트리,"피자빵,고로케"
0,뚜레쥬르 곤지암,경기도 광주시 곤지암읍 곤지암로 47,경기도,3258.8,4293.8,6570.6,9085.7,5072.2,4933.3,3120.0,3100.0,3142.9
1,뚜레쥬르 광명하안,경기도 광명시 하안로 294-7 (한진빌딩),경기도,3146.2,4496.2,7150.0,8300.0,5221.4,4600.0,3400.0,2933.3,3133.3
2,뚜레쥬르 광명휴먼시아,"경기도 광명시 하안로 112 101호 (소하동, 신촌프라자)",경기도,2925.0,3916.7,7033.3,,4960.0,4600.0,2866.7,3100.0,3040.0
3,뚜레쥬르 광주탄벌,경기도 광주시 포돌이로 4 (탄벌동) 1층 뚜레쥬르 광주탄벌,경기도,2770.0,4602.6,7366.7,8500.0,5050.0,4600.0,3220.0,2933.3,3140.0
4,뚜레쥬르 구리인창삼보,"경기도 구리시 건원대로 56 단지상가동 117,118호 1층 뚜레쥬르",경기도,3214.3,4271.9,7000.0,,5200.0,4600.0,3960.0,,3100.0
5,뚜레쥬르 김포마산,"경기도 김포시 김포한강8로 173-59 (마산동,E편한세상한강신도시2차) 113,114,1",경기도,4100.0,4797.0,7171.4,,5011.1,4600.0,3775.0,3200.0,3366.7
6,뚜레쥬르 김포마송,경기도 김포시 김포대로 2231 104호 105호,경기도,3633.3,4750.0,8080.0,,6650.0,5250.0,4500.0,3766.7,4050.0
7,뚜레쥬르 동천동문,"경기도 용인시 수지구 동천로 58 (동천동,빌프라자) 105,106호",경기도,3012.5,4136.8,7150.0,,4650.0,4600.0,3375.0,2933.3,2950.0
8,뚜레쥬르 동탄메타폴리스,경기도 화성시 동탄중앙로 200 202호,경기도,3033.3,4228.6,7116.7,8300.0,5166.7,4600.0,3675.0,2933.3,3116.7
9,뚜레쥬르 동탄역,"경기도 화성시 동탄역로 150 (오산동) B112, 113호",경기도,3566.7,4591.4,8700.0,9800.0,4862.5,4600.0,4050.0,3400.0,3433.3
10,뚜레쥬르 동탄지스타,경기도 화성시 동탄기흥로353번길 100 (오산동) 지스타프라자 107~108호(오산동),경기도,3190.9,3975.0,7155.6,8400.0,4810.0,4600.0,3400.0,2933.3,3200.0
11,뚜레쥬르 마두역,경기도 고양시 일산동구 강석로 123 뉴삼창마트 A동 180 101 (마두동),경기도,2657.1,4580.6,7175.0,,5400.0,4600.0,2900.0,2800.0,3320.0
12,뚜레쥬르 마석창현,경기도 남양주시 화도읍 창현리 555,경기도,3171.4,4353.3,6435.7,8400.0,4928.6,4600.0,3283.3,2933.3,3180.0
13,뚜레쥬르 매교솔밭사거리,경기도 수원시 팔달구 세지로 150 (인계동) 1층,경기도,2857.1,4188.6,7066.7,8300.0,4750.0,4600.0,3433.3,2933.3,3200.0
14,뚜레쥬르 매교힐스테이트,경기도 수원시 팔달구 효원로93번길 33 (매교동) 힐스테이트푸르지오수원 상가,경기도,3071.4,4197.1,7033.3,10000.0,4923.1,4600.0,3350.0,2900.0,3360.0
15,뚜레쥬르 미사강변,"경기도 하남시 미사강변대로 70 (풍산동,해오름프라자) 104,105,106호",경기도,3016.7,4403.0,7300.0,8300.0,4945.5,4600.0,3625.0,2950.0,3550.0
16,뚜레쥬르 반정아이파크캐슬,"경기도 동탄지성로469번길 60 5단지 상가1동107호,108호,109호",경기도,3125.0,4257.1,7271.4,9600.0,4650.0,4600.0,3600.0,3066.7,3366.7
17,뚜레쥬르 배곧한라비발디,"경기도 시흥시 배곧1로 27-16 (정왕동,한라비발디캠퍼스2차) 101,102호",경기도,3244.4,4535.0,7528.6,,5812.5,4600.0,4266.7,3833.3,5225.0
18,뚜레쥬르 병점금강,"경기도 화성시 병점2로 6 102동 103호 (병점동, 금강타운)",경기도,3733.3,4452.2,7611.1,9433.3,5066.7,5500.0,2900.0,3200.0,3416.7
19,뚜레쥬르 병점중심상가,"경기도 화성시 효행로 1068 (병점동,리더스프라자) 104~106호",경기도,3283.3,4138.6,7371.4,8500.0,5081.2,4600.0,3587.5,2933.3,3000.0
20,뚜레쥬르 부천대성,"경기도 부천시 원미구 부천로90번길 8 1층 (원미동, 아송빌딩)",경기도,2962.5,4134.3,7100.0,8400.0,4763.6,4600.0,2725.0,2933.3,2980.0
21,뚜레쥬르 성남하나로마트,"경기도 성남시 분당구 성남대로43번길 11 (구미동,농수산물종합유통센터) 1층 뚜레쥬르",경기도,3500.0,5569.5,7840.0,,5688.2,4950.0,4316.7,3300.0,3900.0
22,뚜레쥬르 수원고색,경기도 수원시 권선구 매송고색로 695 (고색동),경기도,3287.5,4497.1,7500.0,8500.0,5171.4,4300.0,3400.0,2850.0,3375.0
23,뚜레쥬르 수원동보신명,"경기도 수원시 영통구 매영로310번길 87 (영통동,동보.신명아파트) 동보신명 아파트 상가",경기도,2725.0,4204.8,7150.0,,4945.5,4600.0,3200.0,2933.3,3116.7
24,뚜레쥬르 수원역로데오,경기도 수원시 팔달구 향교로1번길 1 (매산로1가) 1층 뚜레쥬르,경기도,3545.5,4396.5,7188.9,,5110.0,4300.0,3925.0,3200.0,3466.7
25,뚜레쥬르 수원정자,경기도 수원시 장안구 대평로 80 (정자동) 정연메이져빌딩1층 뚜레쥬르,경기도,2663.6,4100.0,7175.0,9900.0,4988.9,5400.0,3550.0,2933.3,3050.0
26,뚜레쥬르 수원천천푸르지오,경기도 수원시 장안구 정자천로13번길 15 (천천동) 1층 뚜레쥬르,경기도,3410.0,3745.0,7350.0,,5063.6,4600.0,2860.0,2933.3,2800.0
