구분,매매,전세
,3.3㎡,3.3㎡
전라남도 강진군,453,230
전라남도 고흥군,383,171
전라남도 곡성군,370,213
전라남도 광양시,357,296
전라남도 나주시,658,473
전라남도 담양군,460,267
전라남도 목포시,465,369
전라남도 무안군,728,570
전라남도 보성군,417,300
전라남도 순천시,622,499
전라남도 여수시,723,519
전라남도 영광군,553,395
전라남도 영암군,300,205
전라남도 완도군,584,310
전라남도 장성군,303,200
전라남도 장흥군,653,467
전라남도 해남군,614,422
전라남도 화순군,459,349
광주광역시 광산구,899,641
광주광역시 남구,996,653
광주광역시 동구,997,660
광주광역시 북구,762,564
광주광역시 서구,962,676
