주소,평균가격
전라남도 순천시,4977.1625
전라남도 무안군,4855.3875
전라남도 목포시,4824.9625
전라남도 완도군,4781.4
광주광역시 광산구,4760.15
전라남도 여수시,4745.4125
광주광역시 서구,4716.69375
광주광역시 북구,4702.174999999999
전라남도 나주시,4674.3375
광주광역시 남구,4657.508333333333
전라남도 강진군,4305.228571428571
전라남도 구례군,4171.128571428571
전라남도 광양시,4098.7
전라남도 고흥군,4077.2285714285713
전라남도 진도군,4009.042857142857
광주광역시 동구,3394.8333333333335
