뚜레쥬르 지점,뚜레쥬르 전남강진,뚜레쥬르 나주혁신중앙,뚜레쥬르 순천선평,뚜레쥬르 순천왕지유심천,뚜레쥬르 전남고흥,뚜레쥬르 광양중마사랑,뚜레쥬르 전남구례,뚜레쥬르 목포하당중흥,뚜레쥬르 목포용해,뚜레쥬르 목포남악부영,뚜레쥬르 남악오룡,뚜레쥬르 순천용당,뚜레쥬르 순천조례명성,뚜레쥬르 여수도원,뚜레쥬르 여수죽림,뚜레쥬르 여수쌍봉,뚜레쥬르 여수엑스포타운,뚜레쥬르 전남완도,뚜레쥬르 진도,뚜레쥬르 광주수완대방,뚜레쥬르 광주월계,뚜레쥬르 광주첨단대라수,뚜레쥬르 광주백운,뚜레쥬르 광주백운DT,뚜레쥬르 광주진월,뚜레쥬르 광주금남로,뚜레쥬르 광주서방,뚜레쥬르 상무,뚜레쥬르 광주동림
착한 빵식 통밀빵,4600,,4900,4900,4700,4900,4300,4500,4900,,4900,4900,4900,4900,5100,4900,4900,4900,4900,4900,,4900,4900,4900,4900,4900,4900,4900,4900
고단백 현미식빵,,,,3900,3900,3900,3700,3900,,3900,2900,,3900,3900,4100,,3900,,,,,,,,,3900,3900,,3900
마구마구 밤식빵 (대),7800,,,7000,6900,6900,6700,7100,6900,,,6900,6900,6900,,6900,6900,6900,,6900,7400,6900,,,,,,6900,6900
마구마구 밤식빵 (소),,,3900,,,,3800,,3900,,4400,3900,3900,,4500,,3900,3900,3900,,,3900,3900,3900,3900,3900,3900,,
TLJ 옥수수 식빵,5600,5300,5300,,5300,,5200,,5300,,,5300,5300,5300,5500,5300,,5300,5300,,5300,5300,5300,5300,5300,,5300,5300,5300
순수한 맛 순우유롤(봉),5500,5300,5100,5300,5300,5300,5300,,,5300,5500,5300,5300,,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300
촉촉 쫄깃 탕종식빵,5500,,,5300,5300,,,,,,,,,5300,,,,,5300,,5300,,,,5300,,,5300,
폭신폭신 우유 브레드,4100,,,,,4200,,4200,,,,4200,,4200,,4200,4200,,4200,4200,,,4200,4200,4200,,,4200,
착한 빵식 통밀식빵 (산형),,5800,,5800,5800,,,,,,5800,5800,,,,,,,,,,,,,5800,,5800,,
기본좋은 소버식빵,4800,,4800,4800,4800,4800,4500,4800,4800,,4800,4800,4800,4300,4800,4800,4800,4800,4800,4800,4800,,4800,4800,4800,,4800,4800,4800
"순, 식빵",,,,,,,,,,,,,,,,,,,,,,,,,4900,,,,
호박 패스트리 식빵,6200,,,,,6300,,,,,,,,,,,,,,,,,,,,,,,
(생 생) 생크림 식빵,,,4900,,,4900,4300,,4900,,4900,4900,4900,4900,,,,4900,,4900,4900,4900,,,4900,,,4900,4900
딸기잼 (400g),9900,9900,,9900,9900,9900,9900,,,,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,,,9900,,,9900,9900
딸기잼 320g,8500,8500,8500,8500,8500,,8700,8500,8500,8500,8500,8500,,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
블루베리잼 320g,,9900,9900,,9900,,8700,9900,,,9900,9900,9900,9900,,9900,9900,9900,,9900,9900,9900,9900,9900,9900,9900,9900,,9900
딸기잼 130g,,4800,,,,,,,,,4800,,4800,,4800,4800,4800,4800,4800,4800,4800,4800,,,,,,4800,
기본좋은 쌀 베이글,3200,3200,3200,,3200,3200,2700,3300,3200,3200,3200,3200,3200,3200,,3200,3200,3200,3200,3200,3300,3200,3300,3200,3200,,3200,3200,3200
기본좋은 올리브 베이글,3300,3300,3300,,3300,3300,2900,3300,3300,3300,3300,3300,3300,3300,3400,3300,3300,3300,3300,3300,3300,3300,,3300,3300,,3300,3300,3300
데일리 블루베리 베이글,,,,,2900,,2900,2900,,,,,,,3000,2900,,,2900,,,2900,2900,2900,,,,,2900
데일리 월넛 베이글,,,,,,,,2900,,,,2900,,,,,,,,,,2900,2900,2900,,,,,
필라델피아 크림치즈 플레인,7800,7200,7200,,7200,7200,7200,7200,,7200,7200,7200,7200,7200,7400,,7200,7200,7200,7200,,7200,7200,7200,7200,7200,7200,7200,7200
기본좋은 세서미 베이글,,3300,,,,,,,,,3300,3300,,,,3300,3300,3300,,,,,3300,3300,,,3300,3300,3300
크림치즈 베이글 (기본좋은베이글 랜덤),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크림치즈 베이글 (블루베리),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
베이컨 에그 베이글,,,,,,,,,,,,,,,,,,,,4700,3500,,,,,,,,
크림가득 메론빵,3500,3500,,,,,,,,,,,,3500,,,3500,,,3500,,,3500,3500,,,3500,,
순진우유크림빵,2900,2700,,2700,2700,,2700,2700,2700,3000,2800,2700,2700,2700,,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,,2700
