뚜레쥬르 지점,뚜레쥬르 군산디오션,뚜레쥬르 군산터미널,뚜레쥬르 김제검산,뚜레쥬르 삼례농협하나로마트,뚜레쥬르 익산제일,뚜레쥬르 익산부송,뚜레쥬르 전주하가,뚜레쥬르 전주서신,뚜레쥬르 전주신일강변,뚜레쥬르 전주효자1가,뚜레쥬르 카페정읍수성
갈릭 치즈바게트,,,,,,4200,,,4200,,
피자바게트,,,,,,,,,4700,,
휭거마드레느,,,,,,,,,,4700,
프랑스바게트,,,,,,,,,,,
겉바속촉 꿀버터 바게트,,,,,,,,,,,
마늘빵,,,,,,,,,,,
한입두입미니단팥빵,,,,,,,,,,,
남해 마늘로만든 버터 갈릭꽈배기,,,,,,,,,,,
남해 마늘로 만든 버터 갈릭 꽈배기,,,,,,,,,,,
초코마카롱도넛,2200,2200,2300,2200,,2200,2200,2200,2200,,
딸기마카롱도넛,2200,2200,2300,2200,,2200,2200,2200,2200,2200,2200
피크닉 튜나 샌드위치,6900,6900,,,,,,,,2200,
후랑크 패스트리,,,,,,3300,,3300,3300,,
고단백치킨&아보카도샌드위치,,,,,,,,,,,
고단백치킨페스토곡물샌드위치,,,,,,,,7500,,,
통밀 튜나샌드위치,,,,6900,,,,,,,
그릴치킨 오렌지 샐러드,,,,,,,,,,,
2배 더 진해진 순진 우유식빵 (half),,,,,,,,,,,
쌀모닝 바게트 (2개입),,,,,,,,,,,
메이플피칸크림치즈베이글(월넛),,,,,,,,,,,
블루베리 크림치즈,,2900,,,,,,2900,,,2900
뚜쥬맘계란토스트,,,,,,,,,,,
충남예산쪽파 송송 고로케,3500,,,,,,,,,,
말차 퐁당 코르네,,,,,,,,,,3500,
트러플 소금버터롤,,,3200,,,,,,,,
쉬림프에그마요샌드위치,,,,7300,7300,,7300,,,7300,
겹겹이 데니쉬,,4500,,,,,,,,4500,
메이플피칸크림치즈,,,,,,,,,,,
까망쿠키 속 리얼말차크림빵,,,,,,,3900,,,,
고단백하루견과스틱,,,,,,,,,,,
고단백허니러스크,,,,,,,,,,,
쉬림프에그마요샌드위치 (1/2),,,,,,,,,,,
불고기치즈바게트,,,,,,,,,,,
겹겹이돈가스샌드위치(1/2),,,,,,,,,,,
겹겹이돈가스샌드위치,,,,,,,,,,,
고소한 햄에그 샌드위치 (1/2),,,,,,,,,,,
고소한 햄치즈 에그 샌드위치 (1/2),,,,,,,,,,,
바삭연유콘치즈,,,,,,,,,,,
사과만난 크림치즈 브레드,,,,,,,,,,,
퐁신퐁신 우유 도넛,,,,,,,,,,,
쏙쏙 토스트,,,,4700,,4700,,,4700,,
씨앗가득 고소함이 찰떡,,,,,,5200,,,,,
고구마 소보로,,,,,,3300,,3300,,,
단.계.감.모닝롤 샌드위치,,,,,,,,,,3300,3300
쑥이 듬뿍 맘모스(소),,,,,,,,,,,
울퉁불퉁 왕찰떡빵 (대),,,,,,,,,,,
울퉁불퉁 왕찰떡빵 (소),,,,,,,,,,,
연유퐁당밀크브레드(대),,,6000,,6000,,,,,,
마구마구 고구마,,,,,,,,,,6000,
연유버터라우겐,,,,,,,,,,5600,
앙버터라우겐,,,,,,,,,,,
새우오믈렛토스트,,,,,,,,,,,
포테이토&튜나 샐러드,,,,,,,,,,,
크랜베리치킨 베이글 샌드위치,,,,,,,,,,,
베지텐더 밸런스랩,,7800,,,,,,,,,
쉬림프에그샐러드 (랜치),8500,,,,,,,,,,
반숙란 샌드위치(1/2),,,,,,,,,,,
에그쏙 텐더 샌드위치,,,,,,,,,,,6900
핫치킨치아바타,,,,,,,,,,,
햄치즈 토마토 치아바타,,,,,,,,,,,
리코타 단호박 샌드위치,,,,,,,,,,,6700
착한 빵식 통밀식빵 (사각),,,,,,,,,,,
"순, 식빵 (대)",,,,,,,,,,,
"순, 식빵 (소)",,,,,,,,,,,
고소 담백 더치브레드,,,,,,,,,,,
데일리 치아바타,,,,,,,,,,,
복숭아잼,,,,,,,,,,,
크림듬뿍 슈크림빵,,,,,,,,,,,
바삭 몬테크리스토,,,,,,,,,,,
남해 마늘로 만든 마늘 치킨 고로케,,,3500,,,,,3300,,,
에그마요 소금버터롤,,,,,4300,,,,,3300,
더블 롤치즈 식빵 (대),,,,,,,,,,,
NEW 치즈바게트,,,,5200,,,,5200,,,5200
