뚜레쥬르 지점,뚜레쥬르 경산옥곡,뚜레쥬르 경산정평,뚜레쥬르 경주중앙,뚜레쥬르 경주충효서라벌중앙,뚜레쥬르 구미형곡중앙,뚜레쥬르 김천부곡센트럴,뚜레쥬르 문경중앙,뚜레쥬르 안동정하,뚜레쥬르 옥동호반,뚜레쥬르 영주가흥제일,뚜레쥬르 영천망정,뚜레쥬르 도청신도시,뚜레쥬르 경북울진,뚜레쥬르 경북청도,뚜레쥬르 포항유강,뚜레쥬르 포항이동,뚜레쥬르 포항자이,뚜레쥬르 포항중앙,뚜레쥬르 울산신정현대,뚜레쥬르 울산무거,뚜레쥬르 울산야음롯데,뚜레쥬르 울산전하동,뚜레쥬르 울산방어,뚜레쥬르 울산지웰자이,뚜레쥬르 울산명촌,뚜레쥬르 울산반구강변,뚜레쥬르 울산유곡혁신,뚜레쥬르 대구대봉,뚜레쥬르 대구용산,뚜레쥬르 대구본리,뚜레쥬르 월배삼정,뚜레쥬르 현풍테크노,뚜레쥬르 동대구해모로,뚜레쥬르 동대구더샵디어엘로,뚜레쥬르 복현GS,뚜레쥬르 침산명성푸르지오,뚜레쥬르 서대구센트럴자이,뚜레쥬르 대구신평리,뚜레쥬르 수성3가캐슬,뚜레쥬르 대구달성공원역
촉촉 쫄깃 탕종식빵,5300,5300,,,,,5300,5300,5300,,,,,,,5300,,,5300,,5300,,,,,,,,5300,5300,,,5300,,,,,,5300,
폭신폭신 우유 브레드,,,,,4200,4200,,4200,4200,4200,,,,4200,4200,,4200,,4200,,4400,,,4200,,,4200,,,4100,,4200,,,,5000,,4200,4200,4300
착한 빵식 통밀식빵 (산형),5800,5800,,,5800,,,5800,,5800,,5800,,,5800,,,,,,,,5800,,5900,,,6200,,,5800,,,,,,,,,
기본좋은 소버식빵,4800,4800,4800,4800,4800,4800,4800,,4800,4800,4800,4800,4800,4800,,4800,4800,4800,4800,4800,4800,4800,4800,4800,,4800,4800,4800,4800,4500,4900,,,4800,4800,,4800,4800,,4800
"순, 식빵",,,,,,,,,4900,,,,,,,4900,,,,,,,,,,,,,,,,,,,,,,,,
호박 패스트리 식빵,,,6300,,,,,6300,6300,6300,,,6300,,,6300,,,,,,,6300,,,,6300,,,,,,4900,,,,,,,
(생 생) 생크림 식빵,,4900,4900,4900,4900,4900,,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,,4900,4900,5200,4900,,,,,5000,5200,,5200,5300,4900,,,5300,,4900,,4900,5000
딸기잼 (400g),9900,,,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,,9900,9900,9900,9900,,9900,,9900,9900,9900,9900,9900,9900,9900,9900,9900,9900,,9900,,,,9900,9900,9900,
딸기잼 320g,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500,8500
블루베리잼 320g,,,9900,,9900,,,,9900,9900,,9900,,9900,9900,,9900,9900,,9900,9900,9900,,9900,9900,9900,,,9900,,9900,,,9900,9900,9900,,9900,9900,
딸기잼 130g,,,4800,4800,4800,4800,,,,,,,4800,,,,,4800,,,,,,4800,,,4800,4800,,,4800,4800,,,4800,,,,4800,
기본좋은 쌀 베이글,3200,3200,,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,,3200,3200,3200,3200,2900,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
기본좋은 올리브 베이글,3300,3300,,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3100,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
데일리 블루베리 베이글,,2900,2900,,,,2900,2900,2900,2900,,2900,2900,,,,2900,,,,,,,,,,,,2900,,3200,,,,,,,,2900,
데일리 월넛 베이글,,,2900,,,,2900,2900,2900,2900,,,2900,,,,,,,,,,,,,,,,,,3200,,,,,,,,2900,
필라델피아 크림치즈 플레인,7200,7200,,7200,7200,,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,7200,,7200,,7200,7200,,7200,7200,7200,,7200,,7500,,7200,7200,,7200,,,7200,7200
기본좋은 세서미 베이글,,,,3300,3300,,3300,3300,3300,,,,,3300,3300,3300,,3300,3300,,,,3300,3300,,,,3300,3300,3100,3300,3300,,3300,,3300,3300,,,
크림치즈 베이글 (기본좋은베이글 랜덤),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
크림치즈 베이글 (블루베리),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
베이컨 에그 베이글,,,,4700,4700,,,4700,4700,,,,,,,,,,,,,,4700,4700,,,,,4700,,4900,,,4700,,,,,,
크림가득 메론빵,,3500,,,,,,,3500,3500,,,3500,3500,3600,,,3500,,3500,3800,,,,3500,3500,3500,3800,,,3800,,3500,,,,,,,
순진우유크림빵,2700,2700,2800,2700,2700,2700,2700,2700,2700,2700,2700,,2700,,2700,2700,2700,,2700,2700,2900,2700,2700,2700,2700,2700,2700,2900,2700,2900,3200,2700,2700,,2700,3000,2700,2700,2700,2800
마담 얼그레이 크림번,,3800,,3800,3800,3800,3800,3800,,3800,3800,3800,3800,3800,3800,,,3800,3800,3800,,,,3800,,3800,3800,4000,,,3900,,3800,3800,3800,,,,3800,
겹겹이 연유 크림 데니쉬,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,5200,4900,4900,4900,5300,4900,4900,5200,4900,5300,5600,4900,4900,4900,5500,,4900,4900,4900,4900
밤이듬뿍맘모스(소),,3000,,,,,,,3000,,3000,3100,,3000,,,3000,,,,3200,,3000,,,3000,3200,3300,,3200,3600,3000,,,3000,,3000,3000,3000,
밤이 듬뿍 맘모스(대),,,5900,5900,6900,6900,5900,5900,5900,5900,,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,5900,,5900,5900,,,,5900,,6800,,5900,5900,5900,7000,5900,,5900,5900
호두 연유 바게트,4500,4500,4300,4500,4500,4500,4500,4500,,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,,4500,,4500,,4500,4500,4800,4500,4300,4600,4500,4500,4500,4500,,4500,4500,,4500
사르르 고구마케이크빵,3200,3200,,,,,,3200,3200,3200,3200,3200,,,3200,,3200,3200,,,3800,,3200,3200,,,,3500,3200,,3800,3200,3200,,3200,,,3200,3200,3200
슈크림빵,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,2100,1900,2100,1900,1900,1900,1900,1900,2000,1900,1900,1900,1900
후레쉬크림빵,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,2300,1900,1900,1900,2100,1900,1900,2100,1900,,2200,1900,1900,1900,1900,2500,1900,1900,1900,1900
