뚜레쥬르 지점,뚜레쥬르 충북음성,뚜레쥬르 제천하소로,뚜레쥬르 증평하나로마트,뚜레쥬르 진천성모병원,뚜레쥬르 청원내수,뚜레쥬르 청주용암현대,뚜레쥬르 청주용암부영,뚜레쥬르 청주모충,뚜레쥬르 청주율량,뚜레쥬르 청주가경,뚜레쥬르 청주테크노폴리스,뚜레쥬르 서충주파라뷰,뚜레쥬르 충주용산호암,뚜레쥬르 충북옥천,뚜레쥬르 충북금왕중앙
추억의 사라다 고로케,3800,3800,,3800,3800,3800,3800,,3800,3800,3800,3800,3800,3800,
New 김치 고로케,2800,2800,2800,2800,2800,2800,2800,2800,2800,,2800,2800,,,2800
New 바비큐 치킨 고로케,2800,,,2800,,2800,2800,,2800,2800,2800,,,,2800
충남 예산 쪽파 고로케,,,,,,,,,,,3500,,,,
미니 햄치즈롤(10개),4800,,,,,4800,4800,4800,4800,4800,4800,4800,,4800,4800
낙엽 소시지 브레드,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
NEW어니언소시지포카치아,,,,,,3100,,3100,3100,3100,,3100,,,3100
피자 토스트,2800,2800,,2800,2800,2800,,2800,2800,2800,2800,2800,2800,2800,2800
한 장씩 뜯어먹는 32겹 브레드,6500,6500,6500,,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500,6500
츄러스 꽈배기,2900,2900,2900,,2900,2900,2900,,2900,2900,,2900,2900,,
패스트리에 빠진 에그푸딩,3800,3800,,3800,3800,3800,,,,3800,,3800,,,
몽블랑의 정석,6300,6300,6300,6300,6300,6300,,6300,6300,6300,,6300,,,
바통쉬크레 5개,,3600,,,3600,,,,,,,,,,
오리지널 크라상,2400,2400,2400,,2400,2400,,2400,2400,2400,2400,2400,2400,2400,2400
황금파이 만주,,,,2000,,,,,,,,,,2000,
카라멜 애플파이,,,3200,3200,,,3200,3200,3200,,3200,3200,3200,,
새콤달콤 유자파이,3200,3200,3200,3200,3200,3200,3200,3200,3200,,,3200,3200,,
순진 크림치즈빵,,2900,2900,,,,2900,2900,2900,,2900,2900,2900,,2900
남해 마늘로 만든 갈릭 퐁당 브레드(소),,3400,,3400,,,,3400,3400,3400,3400,3400,3400,,
남해 마늘로 만든 갈릭 퐁당 브레드(대),5800,5800,5800,5800,5800,,5800,,,5800,,,,,5800
크림치즈 호두 과자빵,,3600,,,3600,,,,,,,,,,
